Key,Title,Year,Tool Name,Venue,Rank,Type,Citations,Decision,Reason
gong2025papillon,PAPILLON Efficient and Stealthy Fuzz Testing-Powered Jailbreaks for LLMs,2025,PAPILLON,USENIX Security,A*,conference,12,Included,"USENIX Security 2025 (A*) | iteratively mutate prompts using feeback from oracle."
pei2017deepxplore,DeepXplore Automated Whitebox Testing of Deep Learning Systems,2017,DeepXplore,SOSP,A*,conference,1991,Included,"SOSP (A*) | gradient-based input mutation, differential oracle across DNNs, neuron coverage feedback"
du2018deepcruiser,DeepCruiser Automated Guided Testing for Stateful Deep Learning Systems,2018,DeepCruiser,arXiv,arXiv,preprint,50,Included,"arXiv, 50 citations | iterative loop, metamorphic audio mutations, RNN state coverage, WER oracle"
guo2018dlfuzz,DLFuzz differential fuzzing testing of deep learning systems,2018,DLFuzz,ESEC/FSE,A*,conference,396,Included,"ESEC/FSE (A*) | gradient-guided input mutation, neuron coverage feedback, misclassification oracle"
tian2018deeptest,DeepTest automated testing of deep-neural-network-driven autonomous cars,2018,DeepTest,ICSE,A*,conference,1955,Included,"ICSE (A*) | metamorphic image transforms, neuron coverage feedback, differential oracle"
braiek2019deepevolution,DeepEvolution A Search-Based Testing Approach for Deep Neural Networks,2019,DeepEvolution,ICSME,A,conference,63,Included,"ICSME (A) | evolutionary search over inputs, neuron coverage feedback, metamorphic+misclassification oracle"
du2019deepstellar,DeepStellar model-based quantitative analysis of stateful deep learning systems,2019,DeepStellar,ESEC/FSE,A*,conference,210,Included,"ESEC/FSE (A*) | iterative audio mutations, RNN state-transition coverage, WER oracle"
odena2019tensorfuzz,TensorFuzz Debugging Neural Networks with Coverage-Guided Fuzzing,2019,TensorFuzz,ICML,A*,conference,468,Included,"ICML (A*) | corpus-based loop, random+guided mutations, property-checking oracle on DNN internals"
xie2019deephunter,DeepHunter a coverage-guided fuzz testing framework for deep neural networks,2019,DeepHunter,ISSTA,A,conference,582,Included,"ISSTA (A) | metamorphic image mutations, multi-granularity coverage feedback, misclassification oracle"
zhang2019life,Life after Speech Recognition Fuzzing Semantic Misinterpretation for Voice Assistant Applications,2019,LipFuzzer,NDSS,A*,conference,86,Included,"NDSS (A*) | voice command mutation targeting NLU misinterpretation, feedback-driven seed selection"
asyrofi2020crossasr,CrossASR Efficient Differential Testing of Automatic Speech Recognition via Text-To-Speech,2020,CrossASR,ICSME,A,conference,29,Included,"ICSME (A) | TTS-generated audio from text seeds, differential oracle across ASR systems, feedback-guided text selection"
gao2020fuzz,Fuzz testing based data augmentation to improve robustness of deep neural networks,2020,Sensei,ICSE,A*,conference,191,Included,"ICSE (A*) | genetic operators mutate inputs, loss-based feedback"
lee2020effective,Effective white-box testing of deep neural networks with adaptive neuron-selection strategy,2020,ADAPT,ISSTA,A,conference,91,Included,"ISSTA (A) | gradient-driven input mutation, adaptive neuron selection, coverage feedback"
zhang2020towards,Towards characterizing adversarial defects of deep learning software from the lens of uncertainty,2020,KuK,ICSE,A*,conference,112,Included,"ICSE (A*) | population-based crossover+mutation, uncertainty as feedback signal, failure oracle"
asyrofi2021can,Can Differential Testing Improve Automatic Speech Recognition Systems,2021,Asyrofi et al.,ICSME,A,conference,19,Included,"ICSME (A) | differential ASR testing via TTS audio generation, feedback-guided seed selection (follow-up to CrossASR)"
asyrofi2021crossasr++,CrossASR++ a modular differential testing framework for automatic speech recognition,2021,CrossASR++,ESEC/FSE,A*,conference,27,Included,"ESEC/FSE (A*) | modular TTS+differential ASR loop, pluggable seed selection strategies"
huang2021coverage,Coverage-Guided Testing for Recurrent Neural Networks,2021,TESTRNN,IEEE Trans. Reliab.,Q1,journal,71,Included,"IEEE Trans. Reliab. (Q1), 71 citations | RNN state coverage criteria, genetic+random mutations, WER oracle"
li2021testing,Testing DNN-based Autonomous Driving Systems under Critical Environmental Conditions,2021,TACTIC,ICML,A*,conference,64,Included,"ICML (A*) | style-transfer mutations in latent space, steering-angle oracle for DNN-based ADS"
ma2021hdtest,HDTest Differential Fuzz Testing of Brain-Inspired Hyperdimensional Computing,2021,HDTest,DAC,A,conference,43,Included,"DAC (A) | cosine-distance seed selection, iterative input mutation, HDC misclassification oracle"
wang2021robot,RobOT Robustness-Oriented Testing for Deep Learning Systems,2021,RobOT,ICSE,A*,conference,103,Included,"ICSE (A*) | coverage-based seed prioritization, iterative mutation loop"
liu2022qatest,QATest A Uniform Fuzzing Framework for Question Answering Systems,2022,QATest,ASE,A*,conference,28,Included,"ASE (A*) | semantic text mutations, coverage feedback loop"
pang2022mdpfuzz,MDPFuzz testing models solving Markov decision processes,2022,MDPFuzz,ISSTA,A,conference,54,Included,"ISSTA (A) | state-sequence mutation, cumulative reward oracle, MDP model testing"
wang2022bet,BET black-box efficient testing for convolutional neural networks,2022,BET,ISSTA,A,conference,38,Included,"ISSTA (A) | black-box CNN testing, label/confidence oracle, iterative mutation"
woodlief2022semantic,Semantic image fuzzing of AI perception systems,2022,semSensFuzz,ICSE,A*,conference,23,Included,"ICSE (A*) | semantic image mutations (scene graph-based), perception model failure oracle"
wang2023distxplore,DistXplore Distribution-Guided Testing for Evaluating and Enhancing Deep Learning Systems,2023,DistXplore,ESEC/FSE,A*,conference,21,Included,"ESEC/FSE (A*) | distribution-guided mutations, misclassification oracle"
you2023regression,Regression Fuzzing for Deep Learning Systems,2023,DRFuzz,ICSE,A*,conference,38,Included,"ICSE (A*) | regression bug detection in DL, feedback-driven seed mutation, behavioral diff oracle"
yuan2023revisiting,Revisiting Neuron Coverage for DNN Testing A Layer-Wise and Distribution-Aware Criterion,2023,NLC,ICSE,A*,conference,47,Included,"ICSE (A*) | pixel/affine/texture mutations, NLC layer-wise coverage as feedback criterion"
yuen2023asdf,ASDF A Differential Testing Framework for Automatic Speech Recognition Systems,2023,ASDF,ICST,A,conference,10,Included,"ICST (A) | TTS+text transforms, differential oracle across ASR systems"
he2024curiosity,Curiosity-Driven Testing for Sequential Decision-Making Process,2024,CureFuzz,ICSE,A*,conference,19,Included,"ICSE (A*) | curiosity-driven exploration, reward-based feedback for sequential decision-making"
liuautodan,AutoDAN Generating Stealthy Jailbreak Prompts on Aligned Large Language Models,2024,AutoDAN,ICLR,A*,conference,1233,Included,"ICLR (A*) | hierarchical genetic algorithm, stealthy jailbreak generation, LLM judge oracle"
yang2024sneakyprompt,SneakyPrompt Jailbreaking Text-to-image Generative Models,2024,SneakyPrompt,SP,A*,conference,247,Included,"SP (A*) | RL-guided token perturbation, safety filter bypass oracle for text-to-image models"
yu2024llm,LLM-Fuzzer Scaling Assessment of Large Language Model Jailbreaks,2024,LLM-Fuzzer,USENIX Security,A*,conference,101,Included,"USENIX Security (A*) | seed selection + mutation for LLM jailbreak prompts, success judge oracle"
chao2025jailbreaking,Jailbreaking Black Box Large Language Models in Twenty Queries,2025,PAIR,SaTML,Core-N/A,conference,1461,Included,"SaTML, 1461 citations | LLM-as-attacker iterative refinement (PAIR), judge oracle"
zhang2025orfuzz,ORFuzz Fuzzing the Other Side of LLM Safety - Testing Over-Refusal,2025,ORFuzz,ASE,A*,conference,1,Included,"ASE (A*) | over-refusal boundary testing, mutates prompts to probe LLM over-caution"
zhou2025understanding,Understanding the Effectiveness of Coverage Criteria for Large Language Models A Special Angle from,2025,Zhou et al.,ICSE,A*,conference,10,Included,ICSE (A*) | coverage criteria evaluation for LLMs with iterative test generation
dai2026twinfuzz,TWINFUZZ Dual-Model Fuzzing for Robustness Generalization in Deep Learning,2026,TWINFUZZ,AAAI,A*,conference,0,Included,"AAAI (A*) | dual-model robustness fuzzing, cross-model consistency oracle"
carlini2016hidden,"University of California, Berkeley",2016,Carlini et al.,USENIX Security,A*,conference,,Excluded,"targeted adversarial optimization per input (~30h/sample), no seed pool or input space exploration"
moosavi2016deepfool,DeepFool A Simple and Accurate Method to Fool Deep Neural Networks,2016,DeepFool,CVPR,A*,conference,,Excluded,"per-input gradient perturbation toward nearest decision boundary, no iterative corpus or exploration loop"
carlini2017towards,Towards Evaluating the Robustness of Neural Networks,2017,Carlini and Wagner,SP,A*,conference,,Excluded,"adversarial example generation as optimization per input, no seed corpus or diverse input exploration"
carlini2018audio,Audio Adversarial Examples Targeted Attacks on Speech-to-Text,2018,,SPW,N/A,conference,,Excluded,"targeted adversarial audio attack, per-sample gradient optimization, no seed-based exploration"
ma2018deepgauge,DeepGauge multi-granularity testing criteria for deep learning systems,2018,,ASE,A*,conference,933,Excluded,"defines coverage metrics for existing test sets, no input generation or mutation loop"
byun2019input,Input Prioritization for Testing Neural Networks,2019,,IEEE International Conference on Artificial Intelligence Testing (AITest),,conference,99,Excluded,"test input prioritization for labeling budget, no input generation or mutation"
dong2019there,There is Limited Correlation between Coverage and Robustness for Deep Neural Networks,2019,,,arXiv,preprint,46,Excluded,"empirical study of coverage-robustness correlation, no new input generation method"
eniser2019deepfault,DeepFault Fault Localization for Deep Neural Networks,2019,,ASE,B,conference,,Excluded,"neuron suspiciousness ranks a fixed test set for targeted mutation, no iterative feedback-driven loop"
hu2019deepmutation,DeepMutation++ A Mutation Testing Framework for Deep Learning Systems,2019,,ASE,A*,conference,170,Excluded,"mutates model weights/structure (mutation testing), not inputs — no input generation loop"
kim2019guiding,Guiding Deep Learning System Testing Using Surprise Adequacy,2019,,ICSE,A*,conference,583,Excluded,"surprise adequacy metric only, uses existing adversarial attacks — no fuzzing method proposed"
li2019an,An Intelligent Fuzzing Data Generation Method Based on Deep Adversarial Learning,2019,,IEEE Access,Q1,journal,58,Excluded,"fuzzes software protocol implementations, not a trained AI model"
li2019boosting,Boosting operational DNN testing efficiency through conditioning,2019,,ESEC/FSE,A*,conference,133,Excluded,"statistical sampling of operational data to estimate accuracy, no input generation"
li2019structural,Structural Coverage Criteria for Neural Networks Could Be Misleading,2019,,ICSE-NIER,,conference,161,Excluded,"analysis of existing coverage criteria, no input generation framework proposed"
qin2019imperceptible,"Imperceptible, Robust, and Targeted Adversarial Examples for Automatic Speech Recognition",2019,Qin et al.,ICML,A*,conference,609,Excluded,"targeted adversarial attack (imperceptible audio), per-input optimization toward one goal — no diverse failure exploration"
sun2019structural,Structural Test Coverage Criteria for Deep Neural Networks,2019,Sun et al.,ACM TECS,Q2,journal,168,Excluded,"proposes structural coverage criteria for DNNs. test generation (LP-based concolic + gradient search) is used only to validate the criteria, not as an iterative fuzzing loop."
berend2020cats,Cats are not fish deep learning testing calls for out-of-distribution awareness,2020,,ASE,A*,conference,,Excluded,"empirical study of OOD-awareness in existing DL testing tools, no new method"
chen2020devil,Devil’s Whisper A General Approach for Physical Adversarial Attacks against Commercial Black-box Sp,2020,Devil's Whisper,USENIX Security,A*,conference,,Excluded,"black-box adversarial attack. Uses gradient-based optimization as its core exploration strategy."
chen2020practical,Practical Accuracy Estimation for Efficient Deep Neural Network Testing,2020,,TOSEM,,journal,107,Excluded,"test sample selection (PACE) to estimate DNN accuracy, not a fuzzing loop"
gerasimou2020importancedriven,Importance-driven deep learning system testing,2020,,ICSE,A*,conference,145,Excluded,"importance-driven coverage criterion, evaluates existing test suites — no input generation"
guo2020audee,Audee automated testing for deep learning frameworks,2020,,ASE,A*,conference,157,Excluded,"fuzzes DL frameworks/libraries (crashes, NaNs), not trained model decision behavior"
lin2020black,Black-box adversarial sample generation based on differential evolution,2020,BMI-FGSM,J. Syst. Softw.,Q1,journal,51,Excluded,Black-box adversarial attack on image classifiers. Uses differential evolution to approximate the gradient sign using only model output confidence scores.
park2020effective,Effective Voice Fuzzing Method for Finding Vulnerabilities in AI Speech Recognition Devices,2020,Park and Lee,ISI,C,conference,6,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
paulsen2020neurodiff,NeuroDiff scalable differential verification of neural networks using fine-grained approximation,2020,,ASE,A*,conference,54,Excluded,"formal differential verification via interval arithmetic, not input generation"
sarkar2020backdoor,Backdoor Suppression in Neural Networks using Input Fuzzing and Majority Voting,2020,Sarkar et al.,IEEE Design & Test,Q3,journal,,Excluded,"backdoor suppression/defense technique, not a vulnerability discovery or testing method"
tian2020testing,Testing DNN image classifiers for confusion & bias errors,2020,,ICSE,A*,conference,72,Excluded,"evaluates pre-trained models on held-out test images, no mutation or generation loop"
wang2020amora,Amora Black-box Adversarial Morphing Attack,2020,,ACMMM,A*,conference,,Excluded,"one-shot adversarial morphing attack, applies learned field per input — no iterative seed loop"
wang2020metamorphic,Metamorphic object insertion for testing object detection systems,2020,MetaOD,ASE,A*,conference,,Excluded,"metamorphic testing with fixed transforms applied in batch, no feedback-driven iteration"
yan2020correlations,Correlations between deep neural network model coverage criteria and model quality,2020,,ESEC/FSE,A*,conference,,Excluded,"empirical study of coverage criteria vs. model quality, no input generation"
zhang2020deepsearch,DeepSearch a simple and effective blackbox attack for deep neural networks,2020,DeepSearch,ESEC/FSE,A*,conference,,Excluded,"Per-input adversarial attack that uses prediction scores as a greedy signal to push inputs toward the decision boundary. No input space exploration as in fuzzing."
chandrasekaran2021a,A Combinatorial Approach to Testing Deep Neural Network-based Autonomous Driving Systems,2021,,ICSTW,N/A,conference,,Excluded,"combinatorial test set generated once, no feedback-driven iteration"
dola2021distribution,Distribution-Aware Testing of Neural Networks Using Generative Models,2021,Dola et al.,ICSE,A*,conference,,Excluded,"Lacks feedback loop. Each seed is mutated for a fixed number of iterations using gradient ascent to generate new test case."
haldar2021automated,Automated Testing of AI Models,2021,AITest,arXiv,arXiv,preprint,1,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
luo2021graph,Graph-Based Fuzz Testing for Deep Learning Inference Engines,2021,,ICSE,A*,conference,,Excluded,"fuzzes DL inference engines using model graphs as inputs, not trained model behavior"
raghuram2021a,A General Framework For Detecting Anomalous Inputs to DNN Classifiers,2021,,,arXiv,preprint,,Excluded,"anomaly detection on existing inputs, no input generation loop"
tian2021to,To what extent do DNN-based image classification models make unreliable inferences,2021,,Empirical Software Engineering,Q1,journal,,Excluded,"applies fixed mutation set once per seed, checks accuracy — no feedback-driven iteration"
yan2021exposing,Exposing numerical bugs in deep learning via gradient back-propagation,2021,,ESEC/FSE,A*,conference,,Excluded,"detects NaN/INF numeric bugs in DL code (GRIST), not testing trained model behavior"
yi2021coverage,A Coverage-Guided Fuzzing Framework based on Genetic Algorithm for Neural Networks,2021,,DSA,Core-N/A,conference,8,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
yuan2021perception,Perception Matters Detecting Perception Failures of VQA Models Using Metamorphic Testing,2021,,CVPR,A*,conference,,Excluded,"fixed suite of image transforms applied once per seed (MetaVQA), no feedback loop"
zhang2021cagfuzz,CAGFuzz Coverage-Guided Adversarial Generative Fuzzing Testing for Image-Based Deep Learning System,2021,CAGFuzz,TSE,Q1,journal,47,Included,Pass citation threshold. Iteratively generates new test cases in fuzzing loop.
zhang2021commandergabble,CommanderGabble A Universal Attack Against ASR Systems Leveraging Fast Speech,2021,CommanderGabble,ACSAC,A,conference,,Excluded,"targeted adversarial attack on ASR toward specific phoneme output, no exploration loop"
ge2022wavefuzz,WaveFuzz A Clean-Label Poisoning Attack to Protect Your Voice,2022,,,arXiv,preprint,,Excluded,"clean-label poisoning attack to degrade model training (privacy), not model behavior testing"
liu2022malfuzz,MalFuzz Coverage-guided fuzzing on deep learning-based malware classification model,2022,MalFuzz,Plos one,Q1,journal,13,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
qin2022fuzzing,Fuzzing-based hard-label black-box attacks against machine learning models,2022,,Computers & Security,Q1,journal,12,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
usman2022an,An Overview of Structural Coverage Metrics for Testing Neural Networks,2022,,International Journal on Software Tools for Technology Transfer,,journal,,Excluded,"measures coverage statistics on a static dataset, no input generation"
wang2022sr,SR-MT a metamorphic method to test the robustness of speech recognition software,2022,SR-MT,MET,Core-N/A,conference,0,Excluded,"metamorphic testing with fixed transforms applied in batch, no feedback-driven iteration"
wei2022cocofuzzing,CoCoFuzzing Testing Neural Code Models With Coverage-Guided Fuzzing,2022,CoCoFuzzing,IEEE Trans. Reliab.,Q1,journal,24,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
wu2022deepcov,DeepCov Coverage Guided Deep Learning Framework Fuzzing,2022,,,arXiv,preprint,,Excluded,"fuzzes DL framework implementations using model graphs, not trained model inputs"
xie2022npc,NPC N euron P ath C overage via Characterizing Decision Logic of Deep Neural Networks,2022,,,arXiv,preprint,,Excluded,"new neuron path coverage metric, no input generation or mutation loop proposed"
ye2022dance,DANCe Dynamic Adaptive Neuron Coverage for Fuzzing Deep Neural Networks,2022,DANCe,IJCNN,B,conference,3,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
yuan2022unveiling,Unveiling Hidden DNN Defects with Decision-Based Metamorphic Testing,2022,,ASE,A*,conference,,Excluded,"static metamorphic testing, applies one mutation per seed without using outcomes to drive further mutations"
zhang2022towards,"Towards Robustness of Deep Program Processing Models—Detection, Estimation, and Enhancement",2022,CARROT,TOSEM,Q1,journal,87,Excluded,processes each input independently with a fixed iteration budget using greedy hill-climbing to minimize prediction confidence. No feedback guided input space exploration.
dola2023input,Input Distribution Coverage Measuring Feature Interaction Adequacy in Neural Network Testing,2023,,ACM Transactions on Software Engineering and Methodology,,journal,,Excluded,"IDC coverage metric measured on existing test sets, no generation"
ji2023cc,CC Causality-Aware Coverage Criterion for Deep Neural Networks,2023,,ICSE,,conference,,Excluded,"causal coverage metric computed on fixed test sets, no generation"
li2023cctest,CCTEST Testing and Repairing Code Completion Systems,2023,,ICSE,A*,conference,,Excluded,"one-shot mutation set for LLM completions (CCTest), no feedback-driven iteration"
park2023gradfuzz,GradFuzz Fuzzing deep neural networks with gradient vector coverage for adversarial examples,2023,GradFuzz,Neurocomputing,Q1,journal,14,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
suresh2023kaleidoscope,"Kaleidoscope Semantically-grounded, context-specific ML model evaluation",2023,,CHI,A*,conference,,Excluded,"human-in-the-loop UI, manual seed curation — not automated input generation"
tan2023targeted,Targeted Adversarial Attacks against Neural Network Trajectory Predictors,2023,,Learning for Dynamics and Control Conference,,conference,40,Excluded,"targeted adversarial attack on trajectory prediction toward user-defined output, no input space exploration"
tao2023dlregion,DLRegion Coverage-guided fuzz testing of deep neural networks with region-based neuron selection st,2023,DLRegion,Information and Software Technology,Q1,journal,17,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
wang2023vulnerability,Vulnerability Detection Through an Adversarial Fuzzing Algorithm,2023,,,arXiv,preprint,,Excluded,"software binary fuzzing (coverage-guided), not AI model testing"
yang2023deepsensitive,DeepSensitive A Fuzzing Test for Deep Neural Networks with Sensitive Neurons,2023,DeepSensitive,ICAI,Q2,journal,,Excluded,"generates mutants once per seed, applies oracle — no iterative feedback loop"
zhang2023falsifai,FalsifAI Falsification of AI-Enabled Hybrid Control Systems Guided by Time-Aware Coverage Criteria,2023,FalsifAI,TSE,Q1,journal,37,Excluded,"Falsification of closed-loop hybrid systems, not standalone model fuzzer"
zou2023universal,Universal and Transferable Adversarial Attacks on Aligned Language Models,2023,Zou et al.,arXiv,arXiv,preprint,3440,Excluded,"universal adversarial suffix optimization (GCG), no seed pool or corpus exploration — single-target attack"
bai2024criticalfuzz,CriticalFuzz A critical neuron coverage-guided fuzz testing framework for deep neural networks,2024,CriticalFuzz,Information and Software Technology,Q1,journal,7,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
debenedetti2024agentdojo,AgentDojo A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,,NeurIPS,A*,conference,380,Excluded,"benchmark with hand-coded prompt injections, no automated mutation or feedback-driven loop"
huang2024neuron,Neuron Semantic-Guided Test Generation for Deep Neural Networks Fuzzing,2024,,TOSEM,Q1,journal,7,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
jiang2024costello,COSTELLO Contrastive Testing for Embedding-Based Large Language Model as a Service Embeddings,2024,,Proceedings of the ACM on Software Engineering,,journal,4,Excluded,"one-shot test suite generation via contrastive pairs, no feedback-driven iteration"
li2024many,Many-Objective Search-Based Coverage-Guided Automatic Test Generation for Deep Neural Networks,2024,,arXiv,arXiv,preprint,0,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
tang2024uncovered,An Uncovered Neurons Information-Based Fuzzing Method for DNN,2024,,International Conference on Computer Supported Cooperative Work in Design,C,conference,0,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
wan2024coverage,Coverage-guided fuzzing for deep reinforcement learning systems,2024,,J. Syst. Softw.,Q1,journal,13,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
wang2024can,Can Coverage Criteria Guide Failure Discovery for Image Classifiers An Empirical Study,2024,,ACM Transactions on Software Engineering and Methodology,,journal,6,Excluded,"empirical analysis of coverage criteria on fixed test sets, no input generation"
zhi2024seed,Seed Selection for Testing Deep Neural Networks,2024,,ACM Transactions on Software Engineering and Methodology,,journal,19,Excluded,"seed selection plugin for existing fuzzers, not a standalone fuzzer"
gohil2025jbfuzz,JBFuzz Jailbreaking LLMs Efficiently and Effectively Using Fuzzing,2025,JBFuzz,arXiv,arXiv,preprint,5,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
huang2025bias,Bias Testing and Mitigation in LLM-based Code Generation,2025,,ACM Transactions on Software Engineering and Methodology,,journal,158,Excluded,"evaluates/mitigates social bias in LLM code generation, no fuzzing loop"
xiao2025abfs,ABFS Natural Robustness Testing for LLM-based NLP Software,2025,ABFS,arXiv,arXiv,preprint,5,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
yoon2025adaptive,Adaptive Testing for LLM-Based Applications A Diversity-Based Approach,2025,,"IEEE International Conference on Software Testing Verification and Validation Workshop, ICSTW",,conference,8,Excluded,"adaptive selection from a fixed input pool, no automated input generation or mutation"
yuan2024forest,See the Forest not Trees Unveiling and Escaping the Pitfalls of Error-Triggering Inputs in Neural Network Testing,2024,Yuan et al.,ISSTA,A,conference,4,Included,"Algorithm 1 re-queues mutated inputs for further mutation and uses seed prioritization to steer exploration toward unexplored erroneous properties."
xu2026fuzzingrl,FuzzingRL Reinforcement Fuzz-Testing for Revealing VLM Failures,2026,FuzzingRL,arXiv,arXiv,preprint,0,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
chen2025xmutant,XMutant XAI-based Fuzzing for Deep Learning Systems,2025,XMutant,Empirical Software Engineering,Q1,journal,3,Excluded,Not published at an A/A* conference venue; does not meet citation threshold criteria
yao2024fuzzllm,FuzzLLM A Novel and Universal Fuzzing Framework for Proactively Discovering Jailbreak Vulnerabilities in Large Language Models,2024,FuzzLLM,ICASSP,B,conference,136,Excluded,"not feedback-guided. pipeline is one-shot. prompts are combinatorially generated from fixed templates and constraints, model responses do not influence subsequent prompt generation"
